"","V1"
"inaug_JamesKPolk_1_95",2
"inaug_JamesKPolk_1_96",2
"inaug_JamesKPolk_1_97",2
"inaug_JamesKPolk_1_98",2
"inaug_JamesKPolk_1_99",2
"inaug_JamesKPolk_1_100",2
"inaug_JamesKPolk_1_101",2
"inaug_JamesKPolk_1_102",2
"inaug_JamesKPolk_1_103",2
"inaug_JamesKPolk_1_104",2
"inaug_JamesKPolk_1_105",2
"inaug_JamesKPolk_1_106",2
"inaug_JamesKPolk_1_107",2
"inaug_JamesKPolk_1_108",2
"inaug_JamesKPolk_1_109",2
"inaug_JamesKPolk_1_110",2
"inaug_JamesKPolk_1_111",2
"inaug_JamesKPolk_1_112",2
"inaug_JamesKPolk_1_113",9
"inaug_JamesKPolk_1_114",9
"inaug_JamesKPolk_1_115",9
"inaug_JamesKPolk_1_116",9
"inaug_JamesKPolk_1_117",9
"inaug_JamesKPolk_1_118",9
"inaug_JamesKPolk_1_119",9
"inaug_JamesKPolk_1_120",9
"inaug_JamesKPolk_1_121",9
"inaug_JamesKPolk_1_122",9
"inaug_JamesKPolk_1_123",9
"inaug_JamesKPolk_1_124",9
"inaug_JamesKPolk_1_125",9
"inaug_JamesKPolk_1_126",9
"inaug_JamesKPolk_1_127",4
"inaug_JamesKPolk_1_128",14
"inaug_JamesKPolk_1_129",9
"inaug_JamesKPolk_1_130",9
"inaug_JamesKPolk_1_131",4
"inaug_JamesKPolk_1_132",4
"inaug_JamesKPolk_1_133",9
"inaug_JamesKPolk_1_134",9
"inaug_JamesKPolk_1_135",9
"inaug_JamesKPolk_1_136",9
"inaug_JamesKPolk_1_137",9
"inaug_JamesKPolk_1_138",9
"inaug_JamesKPolk_1_139",9
"inaug_JamesKPolk_1_140",5
"inaug_JamesKPolk_1_141",5
"inaug_JamesKPolk_1_142",14
"inaug_JamesKPolk_1_143",14
"inaug_JamesKPolk_1_144",14
"inaug_JamesKPolk_1_145",4
"inaug_JamesKPolk_1_146",4
"inaug_JamesKPolk_1_147",4
"inaug_JamesKPolk_1_148",4
"inaug_JamesKPolk_1_149",2
"inaug_JamesKPolk_1_150",14
"inaug_JamesKPolk_1_151",15
"inaug_JamesKPolk_1_152",15
"inaug_JamesKPolk_1_153",15
"inaug_JamesKPolk_1_154",2
"inaug_JamesKPolk_1_155",2
"inaug_JamesKPolk_1_156",2
"inaug_JamesKPolk_1_157",1
"inaug_JamesKPolk_1_158",2
"inaug_JamesKPolk_1_159",2
"inaug_JamesKPolk_1_160",10
"inaug_FranklinPierce_1_2",10
"inaug_FranklinPierce_1_3",10
"inaug_FranklinPierce_1_4",10
"inaug_FranklinPierce_1_5",10
"inaug_FranklinPierce_1_6",10
"inaug_FranklinPierce_1_7",2
"inaug_FranklinPierce_1_8",5
"inaug_FranklinPierce_1_9",5
"inaug_FranklinPierce_1_10",5
"inaug_FranklinPierce_1_11",5
"inaug_FranklinPierce_1_12",5
"inaug_FranklinPierce_1_13",8
"inaug_FranklinPierce_1_14",5
"inaug_FranklinPierce_1_15",5
"inaug_FranklinPierce_1_16",6
"inaug_FranklinPierce_1_17",6
"inaug_FranklinPierce_1_18",6
"inaug_FranklinPierce_1_19",6
"inaug_FranklinPierce_1_20",7
"inaug_FranklinPierce_1_21",7
"inaug_FranklinPierce_1_22",6
"inaug_FranklinPierce_1_23",4
"inaug_FranklinPierce_1_24",4
"inaug_FranklinPierce_1_25",4
"inaug_FranklinPierce_1_26",5
"inaug_FranklinPierce_1_27",6
"inaug_FranklinPierce_1_28",5
"inaug_FranklinPierce_1_29",5
"inaug_FranklinPierce_1_30",5
"inaug_FranklinPierce_1_31",5
"inaug_FranklinPierce_1_32",5
"inaug_FranklinPierce_1_33",3
"inaug_FranklinPierce_1_34",14
"inaug_FranklinPierce_1_35",5
"inaug_FranklinPierce_1_36",15
"inaug_FranklinPierce_1_37",15
"inaug_FranklinPierce_1_38",2
"inaug_FranklinPierce_1_39",12
"inaug_FranklinPierce_1_40",12
"inaug_FranklinPierce_1_41",12
"inaug_FranklinPierce_1_42",12
"inaug_FranklinPierce_1_43",1
"inaug_FranklinPierce_1_44",15
"inaug_FranklinPierce_1_45",15
"inaug_FranklinPierce_1_46",15
"inaug_FranklinPierce_1_47",15
"inaug_FranklinPierce_1_48",15
"inaug_FranklinPierce_1_49",8
"inaug_FranklinPierce_1_50",15
"inaug_FranklinPierce_1_51",15
"inaug_FranklinPierce_1_52",8
"inaug_FranklinPierce_1_53",3
"inaug_FranklinPierce_1_54",3
"inaug_FranklinPierce_1_55",4
"inaug_FranklinPierce_1_56",8
"inaug_FranklinPierce_1_57",15
"inaug_FranklinPierce_1_58",15
"inaug_FranklinPierce_1_59",15
"inaug_FranklinPierce_1_60",15
"inaug_FranklinPierce_1_61",15
"inaug_FranklinPierce_1_62",15
"inaug_FranklinPierce_1_63",15
"inaug_FranklinPierce_1_64",15
"inaug_FranklinPierce_1_65",15
"inaug_FranklinPierce_1_66",15
"inaug_FranklinPierce_1_67",10
"inaug_FranklinPierce_1_68",10
"inaug_FranklinPierce_1_69",10
"inaug_FranklinPierce_1_70",10
"inaug_FranklinPierce_1_71",10
"inaug_FranklinPierce_1_72",10
"inaug_FranklinPierce_1_73",10
"inaug_FranklinPierce_1_74",7
"inaug_FranklinPierce_1_75",10
"inaug_FranklinPierce_1_76",2
"inaug_FranklinPierce_1_77",2
"inaug_FranklinPierce_1_78",12
"inaug_FranklinPierce_1_79",1
"inaug_FranklinPierce_1_80",14
"inaug_FranklinPierce_1_81",14
"inaug_FranklinPierce_1_82",15
"inaug_FranklinPierce_1_83",14
"inaug_FranklinPierce_1_84",14
"inaug_FranklinPierce_1_85",14
"inaug_FranklinPierce_1_86",15
"inaug_FranklinPierce_1_87",13
"inaug_FranklinPierce_1_88",7
"inaug_FranklinPierce_1_89",13
"inaug_FranklinPierce_1_90",13
"inaug_FranklinPierce_1_91",13
"inaug_FranklinPierce_1_92",13
"inaug_FranklinPierce_1_93",13
"inaug_FranklinPierce_1_94",5
"inaug_FranklinPierce_1_95",5
"inaug_FranklinPierce_1_96",5
"inaug_FranklinPierce_1_97",14
"inaug_FranklinPierce_1_98",14
"inaug_FranklinPierce_1_99",14
"inaug_FranklinPierce_1_100",15
"inaug_FranklinPierce_1_101",15
"inaug_FranklinPierce_1_102",15
"inaug_FranklinPierce_1_103",5
"inaug_FranklinPierce_1_104",5
"inaug_FranklinPierce_1_105",15
"inaug_FranklinPierce_1_106",15
"inaug_FranklinPierce_1_107",15
"inaug_FranklinPierce_1_108",15
"inaug_FranklinPierce_1_109",10
"inaug_FranklinPierce_1_110",13
"inaug_FranklinPierce_1_111",5
"inaug_JamesBuchanan_1_2",10
"inaug_JamesBuchanan_1_3",10
"inaug_JamesBuchanan_1_4",10
"inaug_JamesBuchanan_1_5",10
"inaug_JamesBuchanan_1_6",4
"inaug_JamesBuchanan_1_7",7
"inaug_JamesBuchanan_1_8",7
"inaug_JamesBuchanan_1_9",14
"inaug_JamesBuchanan_1_10",14
"inaug_JamesBuchanan_1_11",14
"inaug_JamesBuchanan_1_12",9
"inaug_JamesBuchanan_1_13",9
"inaug_JamesBuchanan_1_14",9
"inaug_JamesBuchanan_1_15",9
"inaug_JamesBuchanan_1_16",9
"inaug_JamesBuchanan_1_17",9
"inaug_JamesBuchanan_1_18",2
"inaug_JamesBuchanan_1_19",9
"inaug_JamesBuchanan_1_20",9
"inaug_JamesBuchanan_1_21",5
"inaug_JamesBuchanan_1_22",5
"inaug_JamesBuchanan_1_23",4
"inaug_JamesBuchanan_1_24",9
"inaug_JamesBuchanan_1_25",14
"inaug_JamesBuchanan_1_26",1
"inaug_JamesBuchanan_1_27",7
"inaug_JamesBuchanan_1_28",7
"inaug_JamesBuchanan_1_29",7
"inaug_JamesBuchanan_1_30",7
"inaug_JamesBuchanan_1_31",7
"inaug_JamesBuchanan_1_32",14
"inaug_JamesBuchanan_1_33",7
"inaug_JamesBuchanan_1_34",14
"inaug_JamesBuchanan_1_35",4
"inaug_JamesBuchanan_1_36",4
"inaug_JamesBuchanan_1_37",4
"inaug_JamesBuchanan_1_38",4
"inaug_JamesBuchanan_1_39",4
"inaug_JamesBuchanan_1_40",4
"inaug_JamesBuchanan_1_41",4
"inaug_JamesBuchanan_1_42",4
"inaug_JamesBuchanan_1_43",5
"inaug_JamesBuchanan_1_44",1
"inaug_JamesBuchanan_1_45",1
"inaug_JamesBuchanan_1_46",1
"inaug_JamesBuchanan_1_47",1
"inaug_JamesBuchanan_1_48",1
"inaug_JamesBuchanan_1_49",1
"inaug_JamesBuchanan_1_50",2
"inaug_JamesBuchanan_1_51",2
"inaug_JamesBuchanan_1_52",2
"inaug_JamesBuchanan_1_53",2
"inaug_JamesBuchanan_1_54",2
"inaug_JamesBuchanan_1_55",4
"inaug_JamesBuchanan_1_56",4
"inaug_JamesBuchanan_1_57",4
"inaug_JamesBuchanan_1_58",4
"inaug_JamesBuchanan_1_59",1
"inaug_JamesBuchanan_1_60",7
"inaug_JamesBuchanan_1_61",14
"inaug_JamesBuchanan_1_62",14
"inaug_JamesBuchanan_1_63",14
"inaug_JamesBuchanan_1_64",2
"inaug_JamesBuchanan_1_65",9
"inaug_JamesBuchanan_1_66",9
"inaug_JamesBuchanan_1_67",9
"inaug_JamesBuchanan_1_68",9
"inaug_JamesBuchanan_1_69",9
"inaug_JamesBuchanan_1_70",9
"inaug_JamesBuchanan_1_71",9
"inaug_JamesBuchanan_1_72",9
"inaug_JamesBuchanan_1_73",9
"inaug_JamesBuchanan_1_74",9
"inaug_JamesBuchanan_1_75",9
"inaug_JamesBuchanan_1_76",15
"inaug_JamesBuchanan_1_77",2
"inaug_JamesBuchanan_1_78",12
"inaug_JamesBuchanan_1_79",12
"inaug_JamesBuchanan_1_80",12
"inaug_JamesBuchanan_1_81",12
"inaug_JamesBuchanan_1_82",9
"inaug_JamesBuchanan_1_83",9
